,Ranking,Nombre,Empresa,Fecha,Genero,Ventas_Globales,Contador
33,124,Red Dead Redemption,Sony,2010,Accion,6.6,618
34,55,Gran Turismo 5,Sony,2010,Carreras,10.77,84
35,41,Call of Duty: Black Ops,Sony,2010,Disparos,12.73,415
36,116,Uncharted 3: Drake's Deception,Sony,2011,Accion,6.83,0
37,104,Battlefield 3,Sony,2011,Disparos,7.23,289
38,38,Call of Duty: Modern Warfare 3,Sony,2011,Disparos,13.46,12
39,129,Assassin's Creed III,Sony,2012,Accion,6.5,9
40,83,FIFA Soccer 13,Sony,2012,Accion,8.24,1
41,35,Call of Duty: Black Ops II,Sony,2012,Disparos,14.03,5
42,113,FIFA 14,Sony,2013,Deportes,6.9,1096
43,68,Call of Duty: Ghosts,Sony,2013,Disparos,9.59,30
44,17,Grand Theft Auto V,Sony,2013,Accion,21.4,627
45,125,FIFA 15,Sony,2014,Deportes,6.59,2537
46,94,Call of Duty: Advanced Warfare,Sony,2014,Disparos,7.6,11
47,45,Grand Theft Auto V,Sony,2014,Accion,11.98,627
48,93,Star Wars Battlefront (2015),Sony,2015,Disparos,7.67,1
49,78,FIFA 16,Sony,2015,Deportes,8.49,479
50,34,Call of Duty: Black Ops 3,Sony,2015,Disparos,14.24,10
51,352,Tom Clancy's The Division,Sony,2016,Disparos,3.61,49
52,272,Uncharted 4: A Thief's End,Sony,2016,Disparos,4.2,0
53,222,FIFA 17,Sony,2016,Deportes,4.77,334
54,16244,Phantasy Star Online 2 Episode 4: Deluxe Package,Sony,2017,Rol,0.01,0
55,16441,Brothers Conflict: Precious Baby,Sony,2017,Accion,0.01,0
56,14393,Phantasy Star Online 2 Episode 4: Deluxe Package,Sony,2017,Rol,0.03,0
57,89,Pok̩mon Platinum Version,Nintendo,2008,Rol,7.84,0
58,40,Super Smash Bros. Brawl,Nintendo,2008,Lucha,13.04,16
59,3,Mario Kart Wii,Nintendo,2008,Carreras,35.82,78
60,15,Wii Fit Plus,Nintendo,2009,Deportes,22.0,0
61,9,New Super Mario Bros. Wii,Nintendo,2009,Plataformas,28.62,15
62,4,Wii Sports Resort,Nintendo,2009,Deportes,33.0,5
63,79,Wii Party,Nintendo,2010,Etc,8.49,22
64,69,Just Dance 2,Nintendo,2010,Etc,9.52,12
65,27,Pokemon Black/Pokemon White,Nintendo,2010,Rol,15.32,23
66,61,Just Dance 3,Nintendo,2011,Etc,10.26,20
67,54,Super Mario 3D Land,Nintendo,2011,Plataformas,10.79,11
68,43,Mario Kart 7,Nintendo,2011,Carreras,12.21,23
69,82,Pokemon Black 2/Pokemon White 2,Nintendo,2012,Rol,8.33,4
70,74,Animal Crossing: New Leaf,Nintendo,2012,Simulacion,9.09,94
71,65,New Super Mario Bros. 2,Nintendo,2012,Plataformas,9.82,8
72,235,Luigi's Mansion: Dark Moon,Nintendo,2013,Accion,4.58,3
73,189,Tomodachi Life,Nintendo,2013,Simulacion,5.15,35
74,33,Pokemon X/Pokemon Y,Nintendo,2013,Rol,14.35,249
75,109,Mario Kart 8,Nintendo,2014,Carreras,6.96,315
76,98,Super Smash Bros. for Wii U and 3DS,Nintendo,2014,Lucha,7.45,0
77,50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,Nintendo,2014,Rol,11.33,3
78,430,Super Mario Maker,Nintendo,2015,Plataformas,3.18,155
79,415,Monster Hunter X,Nintendo,2015,Accion,3.26,13
80,236,Splatoon,Nintendo,2015,Disparos,4.57,585
81,2244,Pokken Tournament,Nintendo,2016,Lucha,0.93,9
82,2214,The Legend of Zelda: Twilight Princess HD,Nintendo,2016,Accion,0.94,0
83,1570,Yokai Watch 3,Nintendo,2016,Accion,1.27,2
84,5959,Imagine: Makeup Artist,Nintendo,2020,Simulacion,0.29,0
85,1763,Worldwide Soccer Manager 2009,Ordenador,2008,Simulacion,1.15,0
86,1719,Spore,Ordenador,2008,Estrategia,1.17,91
87,1488,World of Warcraft: Wrath of the Lich King,Ordenador,2008,Rol,1.32,0
88,2349,Call of Duty: Modern Warfare 2,Ordenador,2009,Disparos,0.89,21
89,1884,Empire: Total War,Ordenador,2009,Estrategia,1.09,6
90,84,The Sims 3,Ordenador,2009,Simulacion,8.11,29
91,1042,The Sims 3: Late Night Expansion Pack,Ordenador,2010,Simulacion,1.71,0
92,801,World of Warcraft: Cataclysm,Ordenador,2010,Rol,2.08,0
